name,latitude,longitude,free_bikes,empty_slots,bike_station
Ravenswood Ave & Lawrence Ave,41.96909,-87.674237,6,41,0
Lake Park Ave & 56th St,41.793242,-87.587782,11,7,1
Ada St & Washington Blvd,41.88283,-87.661206,8,4,2
Ashland Ave & Grace St,41.950687,-87.6687,6,7,3
Clark St & Wrightwood Ave,41.929546,-87.643118,8,6,4
Adler Planetarium,41.866095,-87.607267,18,19,5
Wolcott Ave & Polk St,41.871262,-87.673688,2,19,6
Racine Ave & Wrightwood Ave,41.928887,-87.658971,14,1,7
Halsted St & Wrightwood Ave,41.929143,-87.649077,15,0,8
Western Blvd & 48th Pl,41.805661,-87.683392,7,4,9
Keystone Ave & Fullerton Ave,41.92459,-87.72785,7,4,10
Halsted St & Roscoe St,41.94367,-87.64895,13,1,11
Broadway & Belmont Ave,41.940106,-87.645451,6,13,12
Paulina St & Montrose Ave,41.961507,-87.671387,7,7,13
Broadway & Berwyn Ave,41.978353,-87.659753,12,3,14
Broadway & Argyle St,41.973815,-87.65966,5,14,15
Southport Ave & Clark St,41.957081,-87.664199,2,9,16
Broadway & Wilson Ave,41.965221,-87.658139,5,17,17
Kedzie Ave & Palmer Ct,41.921525,-87.707322,6,9,18
Wells St & Evergreen Ave,41.906724,-87.63483,5,13,19
Kilbourn Ave & Irving Park Rd,41.953733,-87.740569,5,5,20
Halsted St & 59th St,41.787539,-87.644874,11,0,21
Knox Ave & Montrose Ave,41.960631,-87.745359,1,10,22
Wabash Ave & Grand Ave,41.891466,-87.626761,9,21,23
Chicago Ave & Washington St,42.032562,-87.679101,1,12,24
Benson Ave & Church St,42.048214,-87.683485,5,10,25
Columbus Dr & Randolph St,41.884728,-87.619521,32,23,26
Wabash Ave & Wacker Pl,41.886875,-87.62603,5,11,27
Michigan Ave & Madison St,41.882134,-87.625125,0,19,28
Cityfront Plaza Dr & Pioneer Ct,41.890573,-87.622072,16,8,29
Canal St & Monroe St,41.88169,-87.63953,10,15,30
Southport Ave & Wrightwood Ave,41.928773,-87.663913,14,1,31
State St & 29th St,41.841707,-87.626938,1,10,32
Canal St & Adams St,41.879255,-87.639904,4,40,33
Stony Island Ave & 75th St,41.7586696704,-87.586882871,3,8,34
Cottage Grove Ave & 43rd St,41.816499,-87.606582,11,0,35
Indiana Ave & 31st St,41.838842,-87.621857,4,7,36
Racine Ave & 15th St,41.861267,-87.656625,3,10,37
Ashland Ave & 13th St,41.865234,-87.666507,1,12,38
Ashland Ave & Grand Ave,41.891072,-87.666611,8,7,39
Halsted St & 35th St,41.830661,-87.647172,10,5,40
Austin Blvd & Chicago Ave,41.894887,-87.774704,4,3,41
Glenwood Ave & Touhy Ave,42.012701,-87.666058,6,9,42
Oakley Ave & Touhy Ave,42.012342,-87.688243,4,7,43
Western Ave & Howard St,42.018901,-87.690048,2,13,44
Greenview Ave & Jarvis Ave,42.015962,-87.66857,12,7,45
Bosworth Ave & Howard St,42.019537,-87.669563,5,6,46
Valli Produce - Evanston Plaza,42.039742,-87.699413,1,14,47
Pulaski Rd & Lake St,41.885409,-87.726491,5,6,48
Cicero Ave & Lake St,41.886841,-87.745261,2,9,49
Clark St & Columbia Ave,42.00445062934,-87.6724024047,2,13,50
Warren Park East,42.00454962194,-87.6806661451,6,5,51
California Ave & 23rd Pl,41.84910969176,-87.6951398068,3,8,52
Central Park Ave & 24th St,41.8481,-87.715068,7,4,53
Glenwood Ave & Morse Ave,42.00797192287,-87.6655023944,6,9,54
Western Ave & 28th St,41.84151770807,-87.6851314409,4,7,55
Albany Ave & 26th St,41.84447501366,-87.7020130128,2,9,56
Halsted St & Polk St,41.87184,-87.64664,0,19,57
900 W Harrison St,41.874754,-87.649807,2,14,58
Stony Island Ave & 67th St,41.77345849948,-87.5853397391,3,8,59
Clinton St & Polk St,41.87146651779,-87.6409491327,4,10,60
Orleans St & Merchandise Mart Plaza,41.888243,-87.63639,0,32,61
State St & Pearson St,41.897448,-87.628722,10,16,62
Wabash Ave & Adams St,41.87947235235,-87.6256886059,0,23,63
State St & Van Buren St,41.877181,-87.627844,0,26,64
Racine Ave & Congress Pkwy,41.87464,-87.65703,5,13,65
Ashland Ave & Augusta Blvd,41.899643,-87.6677,4,9,66
Dearborn St & Adams St,41.8793563587,-87.6297910363,0,19,67
Franklin St & Jackson Blvd,41.8777079559,-87.6353211408,0,38,68
Streeter Dr & Grand Ave,41.892278,-87.612043,8,26,69
Cannon Dr & Fullerton Ave,41.9267559875,-87.6344287848,0,15,70
Latrobe Ave & Chicago Ave,41.894745,-87.756895,6,1,71
Archer (Damen) Ave & 37th St,41.826712,-87.683144,10,1,72
Kedzie Ave & 21st St,41.85353363213,-87.7050730318,2,9,73
Fairfield Ave & Roosevelt Rd,41.866624,-87.694521,2,9,74
Ogden Ave & Roosevelt Rd,41.86650148316,-87.68469707,13,3,75
Kedzie Ave & Roosevelt Rd,41.86649278172,-87.7064961757,11,0,76
Kedzie Ave & Harrison St,41.87359967462,-87.7048707493,6,5,77
MLK Jr Dr & 63rd St,41.78008063659,-87.6159428567,5,6,78
Emerald Ave & 31st St,41.838198,-87.645143,7,3,79
Calumet Ave & 35th St,41.831379,-87.618034,3,12,80
DuSable Lake Shore Dr & Belmont Ave,41.940775,-87.639192,2,17,81
Clark St & Chicago Ave,41.89675,-87.63089,5,14,82
Cottage Grove Ave & 47th St,41.809855,-87.606755,3,12,83
Halsted St & Clybourn Ave,41.909668,-87.648128,3,23,84
Lincoln Ave & Addison St,41.946176,-87.673308,12,7,85
Ashland Ave & Blackhawk St,41.907066,-87.667252,13,1,86
Burling St & Diversey Pkwy,41.93314,-87.64776,12,7,87
Dusable Harbor,41.886976,-87.612813,15,20,88
LaSalle St & Washington St,41.882664,-87.63253,0,9,89
Clinton St & Washington Blvd,41.88338,-87.64117,0,30,90
Millennium Park,41.8810317,-87.62408432,10,37,91
Sheffield Ave & Willow St,41.913688,-87.652855,2,13,92
Carpenter St & Huron St,41.894556,-87.653449,10,6,93
Stony Island Ave & 64th St,41.778881,-87.586647,5,6,94
Clark St & Armitage Ave,41.918306,-87.636282,7,20,95
Field Museum,41.865312,-87.617867,36,3,96
Desplaines St & Randolph St,41.88461618962,-87.6445705849,11,5,97
Racine Ave & Garfield Blvd,41.794228,-87.655073,3,8,98
Ashland Ave & Garfield Blvd,41.792822,-87.664429,2,9,99
Ashland Ave & 50th St,41.803023,-87.664699,9,2,100
